playlist_name,track_playlist,recommendation,hit_number,hit_track
jazzy,"April In Paris by Count Basie, In A Sentimental Mood by Duke Ellington, Take The ""A"" Train by Duke Ellington, Mood Indigo by Louis Armstrong, Take It Easy by Duke Ellington, Incinerate by Sonic Youth, Superstar by Sonic Youth, Graveyard by Dead Moon, 54/40 or Fight by Dead Moon, Walking on My Grave by Dead Moon, Grace by Dear and the Headlights","In A Sentimental Mood by Duke Ellington, Blue in Green by Miles Davis, Moonglow by Billie Holiday, Night and Day by Ella Fitzgerald, Harvest Moon by Neil Young, Midnight in Harlem by Tedeschi Trucks Band, Walking After Midnight by Patsy Cline, Northern Sky by Nick Drake, Shadow of Your Smile by Tony Bennett, Turn Out the Stars by Bill Evans",1,In A Sentimental Mood by Duke Ellington
Whatever,"Practice Makes Perfect by Cute Is What We Aim For, Trouble by Never Shout Never, Going Away by Meg & Dia, Homecoming by Hey Monday, The Curse Of Curves by Cute Is What We Aim For, About A Girl by The Academy Is..., Seventeen Forever by Metro Station, Thnks fr th Mmrs by Fall Out Boy, Summer Love by The Workday Release, Your Song by Mayday Parade, Rock Bottom by Neck Deep","Curse of Curves by Cute Is What We Aim For, Trouble by Never Shout Never, Homecoming by Hey Monday, Back to December by Taylor Swift, The Scientist by Coldplay, Someone Like You by Adele, I Will Remember You by Sarah McLachlan, Ho Hey by The Lumineers, Breathe (2 AM) by Anna Nalick, Let It Be by The Beatles",2,"Trouble by Never Shout Never, Homecoming by Hey Monday"
THE PARTY,"No Flockin by Kodak Black, X Gon' Give It To Ya by DMX, Pop Style by Drake, Caroline by Aminé, I Don't Like by Chief Keef, Uber Everywhere by MadeinTYO, Why You Always Hatin? by YG, Where Ya At by Future, One Night by Lil Yachty, Only by Nicki Minaj, Rambo by Bryson Tiller, Lord Knows (feat. Tory Lanez) by Meek Mill, No Type by Rae Sremmurd, Lonely by Speaker Knockerz, Down In the DM by Yo Gotti, Straight Outta Compton by N.W.A., Low Life by Future, Dead Or Alive by Jazz Cartier, Watch Out by 2 Chainz, Cocoon by Migos, Fed Up by Bazanji","Life Is Good by Future feat. Drake, Nonstop by Drake, ZEZE by Kodak Black feat. Travis Scott & Offset, Jumpman by Drake & Future, No Flockin by Kodak Black, Sicko Mode by Travis Scott, God's Plan by Drake, Mask Off by Future, Tunnel Vision by Kodak Black, Started From the Bottom by Drake",1,No Flockin by Kodak Black
Chill beats,"Angel by Massive Attack, Angel by Massive Attack, Protection by Massive Attack, Live With Me by Massive Attack, Over by Portishead, Roads by Portishead, Pedestal by Portishead, Strangers by Portishead, Crimson by Morcheeba, Come To Me by Björk, Give It Away by Zero 7, Simple Things by Zero 7, In The Waiting Line by Zero 7, Spinning by Zero 7, Warm Sound by Zero 7, Miss You by Trentemøller, Gorecki by Lamb, Mysterons by Portishead, In The Waiting Line by Zero 7, Home by Zero 7, Somersault by Zero 7, In The Waiting Line by Zero 7, Intro by The xx, Islands by The xx, Fantasy by The xx, Shelter by The xx, Night Time by The xx, Stars by The xx, Try by The xx, Sunset by The xx, No Diggity by Chet Faker","Destiny by Zero 7, Teardrop by Massive Attack, Angels by The xx, Turn Me On by Norah Jones, Black Sands by Bonobo, Come Away With Me by Norah Jones, The Look of Love by Diana Krall, This Love by Maroon 5, Sunset Lover by Petit Biscuit, Wait for Me by Moby",0,
Classic Rock,"Any Way You Want It by Journey, Dream On by Aerosmith, Walk This Way by Aerosmith, Good Vibrations by The Beach Boys, Surfin' U.S.A. by The Beach Boys, I Walk the Line by Johnny Cash, Livin' On A Prayer by Bon Jovi, Wanted Dead Or Alive by Bon Jovi, It's My Life by Bon Jovi, More Than a Feeling by Boston, With Arms Wide Open by Creed, Don't Bring Me Down by Electric Light Orchestra, My Way by Frank Sinatra, Fly Me To The Moon by Frank Sinatra, Sweet Child O' Mine by Guns N' Roses, Knockin' On Heaven's Door by Guns N' Roses, I Got You (I Feel Good) by James Brown & The Famous Flames, I'm Yours by Jason Mraz, Somebody to Love by Jefferson Airplane, Sweet Home Alabama by Lynyrd Skynyrd, What's Going On by Marvin Gaye, How Sweet It Is (To Be Loved By You) by Marvin Gaye, I'll Be There by The Jackson 5, Sweet Caroline by Neil Diamond, Come As You Are by Nirvana, (Sittin' On) The Dock Of The Bay by Otis Redding, Georgia On My Mind by Prestige Collection, Give It Away by Red Hot Chili Peppers, Walkin' On The Sun by Smash Mouth, Heart-Shaped Box by Nirvana, Isn't She Lovely by Stevie Wonder, Higher Ground by Stevie Wonder, Fly by Sugar Ray, Take It Easy by Jackson Browne, Shout by Tears For Fears, I Still Haven't Found What I'm Looking For by U2, Hold On by Wilson Phillips, Release Me by Wilson Phillips, Buffalo Soldier by Bob Marley & The Wailers, Get Up, Stand Up by The Wailers","Dream On by Aerosmith, Livin' on a Prayer by Bon Jovi, God Only Knows by The Beach Boys, Sweet Home Alabama by Lynyrd Skynyrd, Take It Easy by Eagles, Here Comes The Sun by The Beatles, Don't Stop Believin by Journey, Peaceful Easy Feeling by Eagles, Free Fallin by Tom Petty, American Pie by Don McLean",2,"Dream On by Aerosmith, Sweet Home Alabama by Lynyrd Skynyrd"
2015 Top Tracks,"The Wire by HAIM, Hands Down by Dashboard Confessional, Knee Socks by Arctic Monkeys, Level Up by Vienna Teng, Thnks fr th Mmrs by Fall Out Boy, Philomena by The Decemberists, You Don't Have To Say You Love Me by Dusty Springfield, Lies by CHVRCHES, Always On My Mind by Pet Shop Boys, Recover by CHVRCHES, Torn by Natalie Imbruglia, Don't Carry It All by The Decemberists, Hurricane by Something Corporate, Countdown by Beyoncé, Down By The Water by The Decemberists, If I Had You by Adam Lambert, Forever by HAIM, Closer by Tegan and Sara, Somebody That I Used To Know by Gotye, Sweater Weather by The Neighbourhood, Pound The Alarm by Nicki Minaj, Lonely Boy by The Black Keys, Riptide by Vance Joy, Gun by CHVRCHES","The Mother We Share by CHVRCHES, Severed by The Decemberists, Want You Back by HAIM, Holocene by Bon Iver, The Night We Met by Lord Huron, Angela by The Lumineers, Cherry Wine by Hozier, Georgia by Vance Joy, I Will Follow You Into The Dark by Death Cab for Cutie, Blood by The Middle East",0,
Mind,"Rollercoaster by Bleachers, Who Needs You by The Orwells, Keep On Movin' by King Tuff, Everybody's Happy Nowadays by Buzzcocks, All Of Me by Tanlines, Promise by Ben Howard, Halo by Ane Brun, I Will Be There by Odessa, Mind by Willamette Stone, Morning by Beck, Auld Lang Syne by MxPx, Today by Willamette Stone, Reality by Boys Noize","Rollercoaster by Bleachers, Today by Willamette Stone, Who Needs You by The Orwells, Take Me Home, Country Roads by Toots & The Maytals (Reggae Cover), Dog Days Are Over by Florence + The Machine, High Hopes by Panic! At The Disco, I Will Wait by Mumford & Sons, Budapest by George Ezra, Ho Hey by The Lumineers, Dreams by Fleetwood Mac",3,"Rollercoaster by Bleachers, Who Needs You by The Orwells, Today by Willamette Stone"
Sad,"Beth by KISS, Home Sweet Home by Mötley Crüe, Nona by Mötley Crüe, Foolish Games by Jewel, Morning Song by Jewel, Don't by Jewel, Hello by Lionel Richie, Close My Eyes Forever by Lita Ford, Open Arms by Journey, Stay by Sugarland, Behind Blue Eyes by Limp Bizkit, Stay by Kelly Rida, A Thousand Years by Christina Perri, Stay With Me by Sam Smith, Try by Colbie Caillat, Try by P!nk","Foolish Games by Jewel, Home Sweet Home by Mötley Crüe, The Sound of Silence by Disturbed, Landslide by Fleetwood Mac, Somebody That I Used To Know by Gotye feat. Kimbra, Need You Now by Lady Antebellum, November Rain by Guns N' Roses, Black by Pearl Jam, When I Was Your Man by Bruno Mars, I Will Remember You by Sarah McLachlan",2,"Home Sweet Home by Mötley Crüe, Foolish Games by Jewel"
june '16,"18 by EXES, The Fall by Stevie Nader, We Had It All by Shoffy, Sex With Me by Rihanna, Yesterdays by Ricky Smith, She Don't (feat. Ty Dolla $Ign) by Ella Mai, Upside Down by Luke Christopher, Hurts So Good by Astrid S, All I Want Is You by Miguel, Easy by Johnny Stimson, Comfortable by Lauv, Location by Khalid, Gone by Day Wave, Open Arms by RKCB, Give Me Something by Jarryd James, Circles by machineheart, Drive by Glades, Take It or Leave It by Great Good Fine Ok, Water by Ra Ra Riot, Adrenaline by Lauv, Come Back Home by Lauv, Don't Let Me Down by The Chainsmokers, Not Alone by Josh Jacobson, Body by Dreezy, Once In a While by Timeflies, Riot by Matt Black, All Time Low by Jon Bellion, Can't Get Over You by KINGDM, Home by MAX, Walls by Jesiah, 18 by Anarbor, Sex by Cheat Codes, Afterglow by Wilkinson, You & Me by Marc E. Bassy, Black and White by Liam Horne, Do Better by TRACES","I Like Me Better by Lauv, Someone You Loved by Lewis Capaldi, Let Her Go by Passenger, See You Again by Wiz Khalifa feat. Charlie Puth, Fix You by Coldplay, Love Yourself by Justin Bieber, The Night We Met by Lord Huron, Best Part by Daniel Caesar feat. H.E.R., Photograph by Ed Sheeran, Memories by Maroon 5",0,
Random,"ILYSB by LANY, Sirens (feat. Dirty Heads) by Sublime With Rome, Reflections by MisterWives, Salt by Bad Suns, Carolina by Kimbra, Eden by Ben Khan, Good For You by Selena Gomez, Sing About It by The Wood Brothers, Hook by Blues Traveler, Bad Intentions by Niykee Heaton, Let Go by RAC, Believe by Van Anders, Work It Out by Knox Hamilton, Under The Gun by Electric Guest, Feeling Good by Avicii, Here by Alessia Cara, Long Way Down by Robert DeLong, One Time by Marian Hill, 2 Heads by Coleman Hell, Harlem by Cathedrals, Sure Thing by Miguel, Flip by Glass Animals, Goodbye by Who Is Fancy, Stand Up by In The Valley Below, Let It Be by Labrinth, Sober by Childish Gambino, Gold by Chet Faker, Tongues by Joywave, Bad Love by Caitlyn Scarlett, No Type by Rae Sremmurd, Weekend by VÉRITÉ, New Tattoo by James Arthur, Hurricane by MS MR, Que Sera by Wax Tailor, Budapest by George Ezra, Out Of My League by Fitz and The Tantrums, Pretend by Tinashe","Malibu Nights by LANY, Shotgun by George Ezra, Lose You To Love Me by Selena Gomez, Gravity by John Mayer, Vienna by Billy Joel, Put Your Records On by Corinne Bailey Rae, Don't Know Why by Norah Jones, Dreams by Fleetwood Mac, Electric Feel by MGMT, Come Away With Me by Norah Jones",0,
