playlist_name,track_playlist,recommendation,hit_number,hit_track
girl power,"Colors by Halsey, Fallin' by Alicia Keys, Bleeding Love by Leona Lewis, Hurt by Christina Aguilera, With You by Jessica Simpson, Pieces Of Me by Ashlee Simpson, Drunk in Love by Beyoncé, Halo by Beyoncé, I Will Always Love You by Whitney Houston, BO$$ by Fifth Harmony, Countdown by Beyoncé, Halo by Beyoncé, Irreplaceable by Beyoncé, Survivor by Destiny's Child, Confident by Demi Lovato, It's All Coming Back to Me Now by Céline Dion, Breakaway by Kelly Clarkson, Unwritten by Natasha Bedingfield, We Can't Stop by Miley Cyrus, Party In The U.S.A. by Miley Cyrus, Come Back To Me by Vanessa Hudgens, Happy by Leona Lewis, Same Old Love by Selena Gomez, Good For You by Selena Gomez, So Yesterday by Hilary Duff, Bang Bang by Jessie J, Price Tag by Jessie J, Fuck You by Lily Allen, Miss Independent by Kelly Clarkson, Beautiful by Christina Aguilera, Some Hearts by Carrie Underwood, Whenever You Remember by Carrie Underwood, I Will Survive by Gloria Gaynor, Hollaback Girl by Gwen Stefani, This One's for the Girls by Martina McBride, Complicated by Avril Lavigne, Rather Be (feat. Jess Glynne) by Clean Bandit, Hold My Hand by Jess Glynne, Ghost by Ella Henderson, Countdown by Beyoncé, Side To Side by Ariana Grande, You're Such A by Hailee Steinfeld, Next To Me by Emeli Sandé, See You Again by Miley Cyrus, Disturbia by Rihanna, Rich Girl by Gwen Stefani, Telephone by Lady Gaga, Wait a Minute! by Willow, New Rules by Dua Lipa","Run the World (Girls) by Beyoncé, Fighter by Christina Aguilera, Stronger (What Doesn't Kill You) by Kelly Clarkson, Brave by Sara Bareilles, The House That Built Me by Miranda Lambert, I Will Survive by Gloria Gaynor, Good as Hell by Lizzo, Unstoppable by Sia, Girl on Fire by Alicia Keys, Roar by Katy Perry",1,I Will Survive by Gloria Gaynor
GAME OVER,"Downtown by August Alsina, I Luv This Shit by August Alsina, Don't Forget About Me by August Alsina, Nobody Knows by August Alsina, Relentless by Stevie Stone, My Life by Stevie Stone, Have Mercy by Tito Lopez, Ghetto by August Alsina, Goodbye by Slaughterhouse, Rescue Me by Slaughterhouse, Roll Call by Trae Tha Truth, Stuck In The Moment by Joe Budden, Hustlaz Ambition by Jeezy, Who Dat by Jeezy, R.I.P. by Jeezy, My Life by The Game, Hustlin' by Rick Ross, I'm On One by DJ Khaled","Hip Hop Saved My Life by Lupe Fiasco, Hustler's Ambition by 50 Cent, Ambition by Wale featuring Meek Mill & Rick Ross, Started From the Bottom by Drake, Blessings by Big Sean featuring Drake, Can't Tell Me Nothing by Kanye West, Juicy by The Notorious B.I.G., No Lie by 2 Chainz featuring Drake, I Can by Nas, Welcome to Jamrock by Damian Marley",0,
Thuggin,"Chinatown by D-Pryde, I'm On One by DJ Khaled, Fire by Bun B, Get It Up by Gucci Mane, Bound 2 by Kanye West, Honest by Future, Who Do You Love? by YG, Believe Me by Lil Wayne, Cut Her Off by K CAMP, Don't Panic by French Montana, Trophies by Young Money, A Milli by Lil Wayne, Headlines by Drake, Be Real by Kid Ink, Lord Pretty Flacko Jodye 2 (LPFJ2) by A$AP Rocky, Back To Back by Drake, Right Hand by Drake, Where Ya At by Future","Started From the Bottom by Drake, Low Life by Future feat. The Weeknd, 6 Foot 7 Foot by Lil Wayne feat. Cory Gunz, God's Plan by Drake, Mask Off by Future, A Milli by Lil Wayne, Nonstop by Drake, March Madness by Future, John by Lil Wayne feat. Rick Ross, Life Is Good by Future feat. Drake",1,A Milli by Lil Wayne
2K16,"Candyman by Zedd, All We Know by The Chainsmokers, You & Me by Marc E. Bassy, Guillotine by Jon Bellion, Rewind by Wingtip, Chocolate by ROOKIES, Gives You Hell by The All-American Rejects, Starving by Hailee Steinfeld, Alone by Alan Walker, Down by Jay Sean, Won't Let Go by Airia, You & Me by West Wing, Love Again by Danelle, Worlds Away by Vexento, Play That Song by Train, Stay (with Alessia Cara) by Zedd, LA LA LAND by DVBBS, Imagine by Jack Johnson, September Song by JP Cooper, Shelter by Porter Robinson & Madeon","Clarity by Zedd ft. Foxes, Paris by The Chainsmokers, All Time Low by Jon Bellion, Take Me Home by Cash Cash ft. Bebe Rexha, Midnight City by M83, Somebody Else by The 1975, Stay by Zedd & Alessia Cara, Roses by The Chainsmokers ft. ROZES, Guillotine by Jon Bellion ft. Travis Mendes, Don't Let Me Down by The Chainsmokers ft. Daya",0,
Morgan,"American Dream by MKTO, All About That Bass by Meghan Trainor, Centuries by Fall Out Boy, Cool Kids by Echosmith, Maps by Maroon 5, Secrets by Mary Lambert, Amnesia by 5 Seconds of Summer, Bartender by Lady Antebellum, Rather Be (feat. Jess Glynne) by Clean Bandit, Centuries by Fall Out Boy, Geronimo by Sheppard, I Lived by OneRepublic, Uma Thurman by Fall Out Boy, Heartbeat Song by Kelly Clarkson, Outside by Calvin Harris, Somebody by Natalie La Rose, Elastic Heart by Sia, I'm an Albatraoz by AronChupa, Ghost Town by Adam Lambert, Photograph by Ed Sheeran, Worth It by Fifth Harmony, Work by Iggy Azalea, Good For You by Selena Gomez, Chains by Nick Jonas, Budapest by George Ezra, Saturday Night by Hilly & Hannah, Stitches by Shawn Mendes, Black Magic by Little Mix, Locked Away by R. City, Here by Alessia Cara, Wildest Dreams by Madilyn Bailey, Hold My Hand by Jess Glynne, Second Chance by Shinedown, Hide Away by Daya, Little Toy Guns by Carrie Underwood, Part Of Me by Madilyn Bailey, The Hills by The Weeknd, Drag Me Down by One Direction, Confident by Demi Lovato, How Deep Is Your Love by Calvin Harris, Shake It Out by Florence + The Machine, Hello by Adele, What Hurts The Most by Rascal Flatts, 7 Years by Lukas Graham, Me Too by Meghan Trainor, Once In a While by Timeflies, Unsteady by X Ambassadors, Missing You by All Time Low, Never Forget You by Zara Larsson, Don't Let Me Down by The Chainsmokers, Kill Em With Kindness by Selena Gomez, I Write Sins Not Tragedies by Panic! At The Disco, Rise by Katy Perry, Closer by The Chainsmokers, The Sound Of Silence by Disturbed, Dirty Laundry by Carrie Underwood, How to Save a Life by The Fray, Jar of Hearts by Christina Perri, Blown Away by Carrie Underwood, In the Name of Love by Martin Garrix, Mama's Broken Heart by Miranda Lambert, Gold by Kiiara, Starving by Hailee Steinfeld, Death Of A Bachelor by Panic! At The Disco, This Town by Niall Horan, Side To Side by Ariana Grande, All Time Low by Jon Bellion, Hallelujah by Pentatonix, Slow Down by Selena Gomez, Paris by The Chainsmokers, Play That Song by Train, Somebody That I Used To Know by Gotye, Attention by Charlie Puth, Mercy by Shawn Mendes, Believer by Imagine Dragons, Bad Liar by Selena Gomez, Come & Get It by Selena Gomez, Love You Like A Love Song by Selena Gomez & The Scene, Slow Down by Selena Gomez, Wildest Dreams by Taylor Swift, Bad Blood by Taylor Swift, The Story Of Us by Taylor Swift, Enchanted by Taylor Swift, Believer by Imagine Dragons, Now Or Never by Halsey, Praying by Kesha, New Rules by Dua Lipa, Havana by Camila Cabello","Rare by Selena Gomez, The Last Great American Dynasty by Taylor Swift, Centuries by Fall Out Boy, Stronger by Kelly Clarkson, Brave by Sara Bareilles, Unwritten by Natasha Bedingfield, High Hopes by Panic! At The Disco, The Climb by Miley Cyrus, Fight Song by Rachel Platten, Follow Your Arrow by Kacey Musgraves",2,"Centuries by Fall Out Boy, Centuries by Fall Out Boy"
Positive Vibes,"High Grade by Richie Spice, Black Roses by Barrington Levy, Guess Who's Coming To Dinner by Black Uhuru, Babylon by Irie Souls, Your House by Steel Pulse, No Cocaine by Alborosie, Lovely Day by Jah Mason, Here I Come by Barrington Levy, Jah Live by Author, Sinsemilla by Black Uhuru, Happiness by Black Uhuru, Marijuana by Duane Stephenson, Jah Jah City by Capleton, Guilty by onton","Here Comes Trouble by Chronixx, Rasta Love by Protoje feat. Ky-Mani Marley, Welcome To Jamrock by Damian Marley, Kingston Town by Alborosie, Sweat (A La La La La Long) by Inner Circle, One Love by Bob Marley & The Wailers, Angel by Shaggy feat. Rayvon, Skanking Sweet by Chronixx, Is This Love by Bob Marley & The Wailers, Beach in Hawaii by Ziggy Marley",0,
Throwback,"Halo by Beyoncé, Sweet Dreams by Beyoncé, Down by Jay Sean, Disturbia by Rihanna, Fireflies by Owl City, Forever by Chris Brown, Hollaback Girl by Gwen Stefani, Crazy In Love by Beyoncé, This Love by Maroon 5, So What by P!nk, Party In The U.S.A. by Miley Cyrus, Girlfriend by *NSYNC, Crazy by Gnarls Barkley, Hot N Cold by Katy Perry","Don't Stop Believin by Journey, Since U Been Gone by Kelly Clarkson, Livin' on a Prayer by Bon Jovi, Shut Up and Dance by WALK THE MOON, Sugar, We're Goin Down by Fall Out Boy, Mr. Brightside by The Killers, We Will Rock You by Queen, Uptown Funk by Mark Ronson ft. Bruno Mars, Before He Cheats by Carrie Underwood, Hard to Handle by The Black Crowes",0,
311,"Chop Suey! by System Of A Down, Testify by Rage Against The Machine, All My Life by Foo Fighters, Getting Away With Murder by Papa Roach, Awake by Godsmack, Man in the Box by Alice In Chains, Wish You Were Here by Incubus, Pardon Me by Incubus, Runaway by Linkin Park, Pardon Me by Incubus, Loser by Beck, Spoonman by Soundgarden, Riot by Three Days Grace, Loser by Beck, Even Flow by Pearl Jam, Alive by Pearl Jam, Rusty Cage by Soundgarden, Like a Stone by Audioslave, Toxicity by System Of A Down, More Human Than Human by White Zombie, Psycho by Puddle Of Mudd, American Idiot by Green Day, Welcome to Paradise by Green Day, Mouth For War by Pantera, I'm Broken by Pantera, Walk by Pantera, Control by Puddle Of Mudd, Eons by 311, Down by 311, From Chaos by 311, Holiday by Weezer, Hash Pipe by Weezer, Beverly Hills by Weezer, Midlife Crisis by Faith No More, Jerry Was A Race Car Driver by Primus, More Human Than Human by White Zombie, Territorial Pissings by Nirvana, Enemy by Sevendust, Black by Sevendust, Twisted Transistor by Korn, Shoots and Ladders by Korn, Good God by Korn, Make Me Bad by Korn, Here To Stay by Korn, Y'all Want a Single by Korn, Bullet In the Head by Rage Against The Machine, Come As You Are by Nirvana, Heart-Shaped Box by Nirvana, The Red by Chevelle, Send the Pain Below by Chevelle, She Hates Me by Puddle Of Mudd, Away From Me by Puddle Of Mudd, I Stand Alone by Godsmack, From Out Of Nowhere by Faith No More, Epic by Faith No More, Surprise! You're Dead! by Faith No More, The Real Thing by Faith No More, War Pigs by Faith No More, Rusty Cage by Soundgarden, Spoonman by Soundgarden, Today by The Smashing Pumpkins, Like a Stone by Audioslave, Warning by Incubus, Super Charger Heaven by White Zombie, I Hate Everything About You by Three Days Grace, Never Too Late by Three Days Grace, Pistol Grip Pump by Rage Against The Machine, Maria by Rage Against The Machine, Year of tha Boomerang by Rage Against The Machine, Bullet With Butterfly Wings by The Smashing Pumpkins, Loud Love by Soundgarden, Trouble by Cage The Elephant, Pride and Joy by Stevie Ray Vaughan, Gasoline by Audioslave, Zombie by The Cranberries, Be Yourself by Audioslave, Testify by Rage Against The Machine","Killing In The Name by Rage Against The Machine, Black Hole Sun by Soundgarden, Freak on a Leash by Korn, Come As You Are by Nirvana, Seven Nation Army by The White Stripes, Bulls on Parade by Rage Against The Machine, Chop Suey! by System of a Down, Back In Black by AC/DC, The Pot by Tool, Paint It, Black by The Rolling Stones",1,Come As You Are by Nirvana
I like it,"Drive by Glades, The Way It Was by Coast Modern, You Used To Love Me by Faith Evans, All Night by SG Lewis, Back to You by Kolidescopes, Closer by The Chainsmokers, Hope by Tim Legend, Runaway (U & I) by Galantis, My Way by Calvin Harris, Tonight, Tonight by The Smashing Pumpkins, Zombie by The Cranberries, All The Time by Bahamas, All I Want Is You by Barry Louis Polisar, All We Know by The Chainsmokers, Hold On by En Vogue, Wonderful by Mullally, 1-2-3-4 (Sumpin' New) by Coolio, Can I Kick It? by A Tribe Called Quest, Gone Away by The Offspring, Changes by 2Pac, Deja Vu by Beyoncé, Survivor by Destiny's Child, Gin And Juice (feat. Dat Nigga Daz) by Snoop Dogg, Rhiannon by Fleetwood Mac, Mr. Blue Sky by Electric Light Orchestra, Lovely Day by Bill Withers, Autumn Leaves by Chris Brown, Feel So Good by Mase, Chateau by Angus & Julia Stone","Don't Let Me Down by The Chainsmokers ft. Daya, Take Me Home, Country Roads by John Denver, Fix You by Coldplay, I'm Yours by Jason Mraz, Summer of '69 by Bryan Adams, Redemption Song by Bob Marley, Somebody That I Used to Know by Gotye ft. Kimbra, The Sound of Silence by Simon & Garfunkel, Chasing Cars by Snow Patrol, Ho Hey by The Lumineers",0,
18,"Changing by John Mayer, Do You by Spoon, Sweet Disposition by The Temper Trap, Can't Help Falling in Love by Haley Reinhart, Morning by Beck, Say Goodbye by Beck, Blue Moon by Beck, Wave by Beck, You're Gonna Live Forever in Me by John Mayer, Put a Flower in Your Pocket by The Arcs, Cold Companion by The Arcs, Stay In My Corner by The Arcs, Stay (with Alessia Cara) by Zedd, Million Reasons by Lady Gaga, Riptide by Vance Joy, Sign of the Times by Harry Styles, Bad Liar by Selena Gomez, Sober by Lorde, Homemade Dynamite by Lorde, Perfect Places by Lorde, Sign of the Times by Harry Styles, Sweet Creature by Harry Styles, Walking Away by HAIM, Right Now by HAIM, Falling by HAIM, Forever by HAIM, The Wire by HAIM, Let Me Go by HAIM, Halo by Beyoncé, New Rules by Dua Lipa","Blue Moon by Beck, I Will Remember You by Ryan Cabrera, Gravity by John Mayer, Want You Back by HAIM, The Heart of Life by John Mayer, Lost Cause by Beck, Hallelujah by Jeff Buckley, Slow Dancing in a Burning Room by John Mayer, The Night We Met by Lord Huron, Dreams by Fleetwood Mac",1,Blue Moon by Beck
