playlist_name,track_playlist,recommendation,hit_number,hit_track,,
WORK,"Thunder Clatter by Wild Cub, Lush Life by Zara Larsson, Be Right There by Diplo, Don't Let Me Down by The Chainsmokers, This Could Be Us by Rae Sremmurd, We Dem Boyz by Wiz Khalifa, No Type by Rae Sremmurd, Calm Down by G-Eazy, Low Life by Future, Wasted by Tiësto, Fool's Gold by Dagny, I Luv This Shit by August Alsina, CRZY by Kehlani, All The Way Up by Fat Joe, Bitch Better Have My Money by Rihanna, Runaway (U & I) by Galantis, Stronger by Clean Bandit, How Deep Is Your Love by Calvin Harris, Hold My Hand by Jess Glynne, Touch Me by Avicii, Sorry by Justin Bieber, The Show Goes On by Lupe Fiasco, Heading Home by Gryffin, Never Forget You by Zara Larsson, Phone Down by Lost Kings, Gone by Afrojack, Words by Daya, Crazy Love by Audien, All We Know by The Chainsmokers, Side To Side by Ariana Grande, My Way by Calvin Harris, Let Me Love You by DJ Snake, Starboy by The Weeknd, All Night by Crystal Fighters, Whole Heart by Gryffin, No Money by Galantis, Drifting by G-Eazy, Waves by Kanye West, Famous by Kanye West, Weak by AJR, Human Touch by Betty Who, All Time Low by Jon Bellion, Down by Marian Hill, All Night by The Vamps, Numb / Encore by JAY Z, That's What I Like by Bruno Mars, I'm the One by DJ Khaled, Shining by DJ Khaled, Never Let Me Go by Alok, Feels by Calvin Harris, Now Or Never by Halsey, Unforgettable by French Montana","Blinding Lights by The Weeknd, Feel So Close by Calvin Harris, Lush Life by Zara Larsson, Black Beatles by Rae Sremmurd, Is This Love by Bob Marley & The Wailers, Don't Start Now by Dua Lipa, Levitating by Dua Lipa, Giant by Calvin Harris, Rag'n'Bone Man, Toast by Koffee, Cheerleader - Felix Jaehn Remix by OMI",1,Lush Life by Zara Larsson,,
Top,"Kiss Me by Sixpence None The Richer, Breathe (2 AM) by Anna Nalick, Everything by Michael Bublé, Hold On by Michael Bublé, All I Do Is Dream Of You by Michael Bublé, All Of Me by Michael Bublé, I've Got The World On A String by Michael Bublé, At Last by Beyoncé, I Belong To You by Lenny Kravitz, Emotions by Mariah Carey, Someday by Mariah Carey, If Today Was Your Last Day by Nickelback, Dynamite by Jamiroquai, Half the Man by Jamiroquai, Blow Your Mind by Jamiroquai, Drive By by Train, Drive By by Train, Sunday Morning by Maroon 5, Where Do Broken Hearts Go by Whitney Houston, Higher Love by James Vincent McMorrow, Wanted Dead Or Alive by Bon Jovi, Waterloo by ABBA, Our Day Will Come by Amy Winehouse, For Once In My Life by Stevie Wonder, I Say a Little Prayer by Aretha Franklin, Lovely Day by Bill Withers, Signs by Snoop Dogg, Shiny Happy People by R.E.M., No Diggity by Chet Faker, Good Thing by Fine Young Cannibals, Over My Shoulder by Mike & The Mechanics, No Diggity by Chet Faker","Everything by Michael Bublé, By Your Side by Sade, Come Away With Me by Norah Jones, Make It Happen by Mariah Carey, Corner of the Earth by Jamiroquai, Better Together by Jack Johnson, Just the Two of Us by Bill Withers, L-O-V-E by Nat King Cole, You Are The Best Thing by Ray LaMontagne, Feels Like Home by Chantal Kreviazuk",1,Everything by Michael Bublé,,
Cool Music,"Alone Together by Fall Out Boy, Celebrate by MIKA, This Is Gospel by Panic! At The Disco, Trouble by Neon Jungle, Cough Syrup by Young the Giant, Wanted Dead Or Alive by Bon Jovi, Bleeding Out by Imagine Dragons, Underdog by Imagine Dragons, House Of Gold by Twenty One Pilots, Centuries by Fall Out Boy, (Coffee's For Closers) by Fall Out Boy, Heart Out by The 1975, The City by The 1975, Flaws by Bastille, Paris by Magic Man, Waves by Magic Man, Paris by Magic Man, Texas by Magic Man, Geronimo by Sheppard, Little Games by The Colourist, Gasoline by Karmin, Daydreaming by Paramore, Anna Sun by WALK THE MOON, Family by Catey Shaw, Jungle by NONONO","Vienna by Billy Joel, Carry On by Fun., The Night We Met by Lord Huron, I Lived by OneRepublic, Demons by Imagine Dragons, Centuries by Fall Out Boy, Paris by Magic Man, Unsteady by X Ambassadors, Don't Stop Believin by Journey, Dream On by Aerosmith",3,"Centuries by Fall Out Boy, Paris by Magic Man, Paris by Magic Man",,
chillllll,"How Deep Is Your Love by Calvin Harris, Here by Alessia Cara, As Long As You Love Me by Justin Bieber, Motivation by Kelly Rowland, Killing Me Softly with His Song by Fugees, Last Night by Keyshia Cole, Take Me To Church by Hozier, Summer by Calvin Harris, Rather Be (feat. Jess Glynne) by Clean Bandit, White Iverson by Post Malone, Budapest by George Ezra, Comfortable by K CAMP, Good Lovin by Ludacris","Slide by Calvin Harris feat. Frank Ocean & Migos, Scars to Your Beautiful by Alessia Cara, Love Yourself by Justin Bieber, Adore You by Harry Styles, Let's Stay Together by Al Green, Gravity by John Mayer, Thinking Out Loud by Ed Sheeran, Put It All on Me by Ed Sheeran feat. Ella Mai, Malibu Nights by LANY, Dreams by Fleetwood Mac",0,,,
Easy,"No Games by Rick Ross, Tony Montana by Future, Motivation by Kelly Rowland, Boneless by Steve Aoki, What They Want by ScHoolboy Q, Jump by Tocadisco, Trophies by Young Money, Forever by Majid Jordan, Blame by Calvin Harris, Take The Money And Run by Steve Miller Band, Make Her Say by Kid Cudi","Delirious (Boneless) by Steve Aoki, Chris Lake & Tujamo feat. Kid Ink, Commander by Kelly Rowland feat. David Guetta, Low Life by Future feat. The Weeknd, Titanium by David Guetta feat. Sia, Can't Stop the Feeling! by Justin Timberlake, Don't Stop Believin by Journey, Good as Hell by Lizzo, Eye of the Tiger by Survivor, Power by Kanye West, Lose Yourself by Eminem",0,,,
pregame,"Snap Yo Fingers by Youngbloodz, Mercy by Kanye West, Higher Ground by Lunice, Dance (A$$) Remix by Big Sean, Disco Inferno by 50 Cent, Dope by Tyga, A Milli by Lil Wayne, No Sleep by Wiz Khalifa, Good Life by Kanye West, Gold Digger by Kanye West, Knock Knock by Mac Miller, Tied Up by Casey Veggies, Ass Drop by Wiz Khalifa, Touchin, Lovin (feat. Nicki Minaj) by Trey Songz, Who Do You Love? by YG, Sanctified by Rick Ross, Paranoid (feat. B.o.B) by Ty Dolla $ign, Top of the World by Mike Posner, The Hills by The Weeknd, Comfortable by K CAMP, All The Time by Jeremih, Again by Fetty Wap, POWER by Kanye West, Flex (Ooh, Ooh, Ooh) by Rich Homie Quan, Back To Back by Drake, Hold You Down by DJ Khaled, Ass Drop by Wiz Khalifa, Don't by Bryson Tiller, Caroline by Aminé","Stronger by Kanye West, Black and Yellow by Wiz Khalifa, Uptown Funk by Mark Ronson ft. Bruno Mars, SICKO MODE by Travis Scott, Turn Down for What by DJ Snake & Lil Jon, HUMBLE. by Kendrick Lamar, No Problem by Chance the Rapper ft. Lil Wayne & 2 Chainz, Power by Kanye West, Lose Control by Missy Elliott ft. Ciara & Fat Man Scoop, I Gotta Feeling by The Black Eyed Peas",0,,,
Chill Jamz,"Down by Marian Hill, Sunny by Hippie Sabotage, Stole the Show by Kygo, Stay by Kygo, Say It by Flume, Wildfire by SBTRKT, Bang Bang by Lawrence Taylor, Let It Be by Labrinth, The Suburbs by Mr Little Jeans, Summer by Raf Riley, Comfortable by Lauv, Indian Summer by Jai Wolf, Do Better by TRACES, Question by Lauv, Insecure by SPZRKT, All of You by Sango, Hold Me Down by Mansionair, Can't Get Over You by KINGDM, California by Childish Gambino, Elastic Heart by Sia, Location by Khalid, Lullaby by Atlas Bound","Firestone by Kygo ft. Conrad Sewell, I Like Me Better by Lauv, Someone You Loved by Lewis Capaldi, Say Something by A Great Big World & Christina Aguilera, The Night We Met by Lord Huron, Let It Go by James Bay, Tennessee Whiskey by Chris Stapleton, Before You Go by Lewis Capaldi, Malibu Nights by LANY, The Sound of Silence by Disturbed",0,,,
hyped,"Stay (with Alessia Cara) by Zedd, Believer by Imagine Dragons, Lush Life by Zara Larsson, Let Me Love You by DJ Snake, All The Way by Timeflies, Attention by Charlie Puth, Drive by Halsey, The One by The Chainsmokers, Miss You by James Hersey, Army by Lady Antebellum, Feels by Calvin Harris, Bad Liar by Selena Gomez, Breakaway by Kelly Clarkson, Walk Away by Kelly Clarkson, Find You by Nick Jonas, Again by Noah Cyrus, Pity Party by Melanie Martinez, Soap by Melanie Martinez, Bones by Quinn XCII, Now Or Never by Halsey, Gorgeous by Taylor Swift, Rock Bottom by Hailee Steinfeld","Castle by Halsey, Stronger (What Doesn't Kill You) by Kelly Clarkson, Pity Party by Melanie Martinez, Brave by Sara Bareilles, Unstoppable by Sia, Dog Days Are Over by Florence + The Machine, Fight Song by Rachel Platten, Don't Stop Believin by Journey, Rise Up by Andra Day, Feeling Good by Michael Bublé",1,Pity Party by Melanie Martinez,,
january.,"If It Means a Lot to You by A Day To Remember, 3am by RAC, Blue Skies by Matt Woods, Misery by The Maine, Puzzle Pieces by Saint Motel, Goodnight Moon by Go Radio, Is This Love? by James Arthur, Home by One Direction, All We Do by Oh Wonder, I Will Be There by Odessa, Heaven by Beyoncé, Demons by James Morrison, All I Want by Echos, Princess of China by Coldplay, Pictures by Benjamin Francis Leftwich, Carried Away by Passion Pit, Shot In The Dark by Michael McEachern, How Long by Jelly Rocket, Stay by Ember Island, Ghost by Chelsea Lankes, Bittersweet by ARCHIS, Home by Nikki Flores, Walk Away by Jasmine V, Tightrope by Tiffany Alvord, I Wouldn't Mind by Taylor Wood, Little Do You Know by Lenny Martelli, nothing by Lewis Watson, Please Don't Go by Joel Adams, 2 Heads by Coleman Hell, I'm Good by The Mowgli's, Oh My Love by The Score, Young Folks by Peter Bjorn and John, Friends by Little Sea, Weathered by Jack Garratt, My Own Way by Kita Alexander, Stronger by Tank, Another Day by Marc Broussard, Gold by Kiiara, Do It Again by Pia Mia","Fix You by Coldplay, Say You Won't Let Go by James Arthur, Have Faith In Me by A Day To Remember, The Scientist by Coldplay, Impossible by James Arthur, If It Means a Lot to You by A Day To Remember, Redemption Song by Bob Marley & The Wailers, Unsteady by X Ambassadors, Let Her Go by Passenger, I'm Yours by Jason Mraz",1,If It Means a Lot to You by A Day To Remember,,
indica,"Wish You Were Here by Pink Floyd, Time by Pink Floyd, Rocket Man by My Morning Jacket, Wordless Chorus by My Morning Jacket, Why'd You Only Call Me When You're High? by Arctic Monkeys, Simple Man by Lynyrd Skynyrd, More Than a Feeling by Boston, Foreplay / Long Time by Boston, Sweet Emotion by Aerosmith, Empty Spaces by Pink Floyd, Peace of Mind by Boston","Wish You Were Here by Pink Floyd, More Than a Feeling by Boston, Golden by My Morning Jacket, Turn the Page by Bob Seger, The Sound of Silence by Simon & Garfunkel, Landslide by Fleetwood Mac, Simple Man by Lynyrd Skynyrd, Tears in Heaven by Eric Clapton, Black by Pearl Jam, Into the Mystic by Van Morrison",3,"Wish You Were Here by Pink Floyd, Simple Man by Lynyrd Skynyrd, More Than a Feeling by Boston",,
